cell,rawvalue,finPhase
8070,1.3,367
8151,7.35,367
8152,7.9,367
8153,8.4,367
8154,8.7,367
8155,5.75,367
8156,5.35,367
8157,5.1499999999999995,367
8158,3.8,367
8159,2.6,367
8160,2.75,367
8161,0.8499999999999999,367
8241,7.6,367
8242,7.550000000000001,367
8243,6.6499999999999995,367
8244,7.7,367
8245,8.6,367
8246,6.05,367
8247,6.1,367
8248,5.6,367
8249,4.05,367
8250,3.45,367
8251,3.2,367
8252,2.3,367
8332,8.25,367
8333,8.5,367
8334,8.6,367
8335,8.7,367
8336,6.5,367
8337,6.15,367
8338,6.1,367
8339,5.25,367
8340,6.3,367
8341,5.65,367
8342,5.3,367
8343,6,367
8344,5.1,367
8424,8.65,367
8425,8.6,367
8426,8.6,367
8427,8.35,367
8428,8.1,367
8429,7.85,367
8430,7.6,367
8431,5.699999999999999,367
8432,5.9,367
8433,5.75,367
8434,5.7,367
8435,5.5,367
8436,6.05,367
8516,8.65,367
8517,8.45,367
8518,8.25,367
8519,8.15,367
8520,7.85,367
8521,7.45,367
8522,5.35,367
8523,4.95,367
8524,6.15,367
8525,5.85,367
8526,5.35,367
8608,8.05,367
8609,8.25,367
8610,8.2,367
8611,8.05,367
8612,7.85,367
8613,7,367
8614,6.2,367
8698,9.15,367
8700,8.3,367
8701,8.25,367
7081,-0.65,367
7082,-1.55,367
7084,-1.95,367
7159,-2.1,367
7160,-1.6,367
7161,-0.5499999999999999,367
7162,-0.5499999999999999,367
7163,0.30000000000000004,367
7240,-2.6,367
7241,-0.30000000000000004,367
7242,1.15,367
7320,-2.9,367
7321,0.04999999999999993,367
7322,1.3,367
7323,0.15000000000000002,367
7324,-1.95,367
7325,-3.25,367
7326,-2.8,367
7400,3,367
7401,1.9,367
7402,0.4,367
7403,-1.6,367
7404,-1.05,367
7405,1.4,367
7406,-1.35,367
7407,-0.95,367
7408,-0.6000000000000001,367
7409,-1.7,367
7482,3.05,367
7483,3.7,367
7484,1.95,367
7485,0.8500000000000001,367
7486,-0.05000000000000004,367
7487,-1.05,367
7488,-0.19999999999999996,367
7489,1.1,367
7490,-0.19999999999999996,367
7491,-1.25,367
7492,-3.1999999999999997,367
7493,-3.5500000000000003,367
7565,2.55,367
7566,2.05,367
7567,2.35,367
7568,3.65,367
7569,2.6,367
7570,0.65,367
7571,-0.7,367
7572,2.4000000000000004,367
7573,1.5,367
7574,-0.85,367
7575,-2.3,367
7646,4.3,367
7647,3.75,367
7648,3.5999999999999996,367
7649,3.75,367
7650,4.7,367
7651,3.6,367
7652,2.55,367
7653,2.5999999999999996,367
7654,2.4,367
7655,-1,367
7656,-1.6,367
7728,5.7,367
7729,5.5,367
7730,4.3,367
7731,5.15,367
7732,5.4,367
7733,4.4,367
7734,3.15,367
7735,2.05,367
7736,0.45,367
7737,-1.55,367
7808,5.15,367
7809,4.65,367
7810,5.7,367
7811,5.2,367
7812,4.75,367
7813,5.45,367
7815,5.35,367
7890,5.699999999999999,367
7891,5.6,367
7892,5.4,367
7893,5.7,367
7894,5.5,367
7975,5.65,367
7976,5.65,367
7977,5.5,367
8060,5.6,367
8061,5.1,367
7904,1.0499999999999998,367
7986,1,367
7987,3.85,367
8071,3,367
8072,3.1,367
8073,4.55,367
8074,4.45,367
8075,1.4,367
8162,5.9,367
8163,5.9,367
8164,3.9,367
8165,6.2,367
8166,2.95,367
8167,3.65,367
8168,0.95,367
8169,2.4000000000000004,367
8170,6.6,367
8253,5.449999999999999,367
8254,6.550000000000001,367
8255,5.4,367
8256,7.800000000000001,367
8257,6.699999999999999,367
8258,6.65,367
8259,5.05,367
8260,4.9,367
8261,8.9,367
8345,8.75,367
8346,8.75,367
8347,8.6,367
8348,7.800000000000001,367
8349,9.65,367
8350,7.1,367
8351,8.45,367
8352,7.45,367
8437,6.6499999999999995,367
8438,9.35,367
8439,8.85,367
8440,8.95,367
8441,10.05,367
8442,9.9,367
8443,10.35,367
8527,8.55,367
8528,8.75,367
8529,8.15,367
8530,8.5,367
8531,11.65,367
8532,10.7,367
8533,10.6,367
8534,10.3,367
8618,8.15,367
8619,8.4,367
8620,8.95,367
8621,11.2,367
8622,11,367
8623,10.85,367
8624,10.8,367
8709,9.4,367
8710,11.15,367
8711,11.65,367
8712,11.35,367
8799,11.65,367
8800,11.95,367
8801,11.95,367
8888,12.1,367
8889,12.3,367
6820,9.9,367
6902,9.15,367
6903,9.85,367
6983,7.1,367
6984,9.05,367
6985,10.05,367
7063,7.05,367
7064,6.85,367
7065,8.7,367
7066,9.55,367
7141,6.65,367
7142,7.9,367
7143,9.1,367
7144,9.9,367
7145,10.4,367
7219,6.75,367
7220,6.75,367
7221,8.75,367
7222,9.1,367
7223,9.3,367
7224,9.75,367
7299,5.35,367
7300,5.65,367
7301,6.5,367
7302,6.6,367
7303,8.65,367
7304,9,367
7305,10.05,367
7381,5.699999999999999,367
7382,5.25,367
7383,6.949999999999999,367
7384,5.55,367
7385,6.75,367
7386,7.9,367
7387,9.95,367
7388,10.65,367
7463,5.85,367
7464,6,367
7465,6,367
7466,6,367
7467,5.45,367
7468,6.85,367
7469,7.65,367
7470,8.55,367
7546,6.4,367
7547,5.25,367
7548,6.1,367
7549,7.35,367
7550,7.9,367
7551,8.15,367
7552,6.55,367
7553,7.800000000000001,367
7554,8.8,367
7628,5.85,367
7629,5.85,367
7630,5.85,367
7631,7.3,367
7632,8.1,367
7633,8.15,367
7634,7.75,367
7635,7.4,367
7636,8.7,367
7711,6.75,367
7712,7.3,367
7713,8.05,367
7714,8.1,367
7715,7.9,367
7716,7.75,367
7717,7.75,367
7718,9.45,367
7793,7.4,367
7794,8,367
7795,8.1,367
7796,8.2,367
7797,7.95,367
7798,7.699999999999999,367
7799,7.85,367
7876,8.1,367
7877,8.2,367
7878,8,367
7879,8.05,367
7880,7.65,367
7881,8.65,367
7959,8.1,367
7960,8.25,367
7961,7.9,367
7962,7.85,367
7963,7.75,367
7964,9.05,367
281,8.05,367
282,7.65,367
315,7.4,367
349,7.2,367
350,6.7,367
389,7.6,367
390,7.2,367
391,7,367
392,7.15,367
393,7.4,367
394,7.3,367
437,7.95,367
438,7.699999999999999,367
439,7.95,367
440,8,367
441,7.75,367
442,7.4,367
493,7.95,367
494,7.85,367
495,7.75,367
496,7.85,367
497,8.3,367
498,8.8,367
499,7.8,367
500,7.15,367
550,8.3,367
551,8.45,367
552,8.350000000000001,367
553,7.95,367
554,7.9,367
555,7.75,367
556,8.6,367
557,8.6,367
558,8.85,367
559,8.85,367
560,8.25,367
611,8.7,367
612,8.75,367
613,8.9,367
614,8.5,367
615,8.05,367
616,7.95,367
617,8.9,367
618,8.4,367
619,8.6,367
620,8.45,367
621,8.6,367
680,9.6,367
681,9.65,367
682,9.65,367
683,9.05,367
684,8.75,367
685,8.95,367
686,8.9,367
687,8.6,367
688,8.8,367
753,9.7,367
754,9.5,367
755,9.4,367
756,9.4,367
757,9.5,367
758,9.3,367
759,8.9,367
760,8.75,367
761,8.350000000000001,367
833,9.5,367
834,9.5,367
835,9.4,367
836,9.25,367
837,9.5,367
838,8.95,367
